1, အ, ညအခါ လသာသာ ကစားမလား နားမလား
2, အာ, အစားအစာ ဝါးစားပါ အသားပါသလား ငါးပါသလား
3, အား, စာရသလား ခဏလာပါ ဆရာမအနား လာသာလာပါ
4, အိ, ညီညီညာညာ အနီးလာ ဆရာမိဘ သတိရ။
5, အီ, ဆီမီးဝါဝါ ညီညီစီထားသည်။ အနီးအနား သမီးသား လာပါ။
6, အီး, ဤခရီး နီးသလား။ ငါးနာရီ လာရ၏။ မီးရထား စီးလာပါ။ အလကား မစီးရ။
7, အု, သူပညာ ထူး၏။ ပထမဆု ရသည်။ ဆုယူလာသည်။ အတုယူစရာ။
8, အူ, ရာသီဥတု ပူသည်။ ထီး ယူလာသလား။ ဦးဦး လာ၏။ အနားယူပါ။
9, အူး, ဤမိသားစု ဘုရားဖူးလာ၏။ လူစုလာသည်။ ဦးသာထူး ပါသလား။
10, အေ, သားကလေး တီတာတာ မေမေ့အနားလာ။ ဖေဖေ မေမေ သူ့စကား တူတူရေ ဝါး။
11, အေ့, စာအရေးအသား အလေးထားပါ။ ငေးမနေရ၊ အားပေးကူညီပါ။
12, အေး, ယနေ့ နေသာ၏။ လေမလာ၍ ပူသည်။ ခရီးဝေးက လာရသည်။ ရေအေးအေး ပေးပါ။
13, အဲ, ဘယ်က လာသလဲ။ ဘယ်နယ်ကလဲ။ အလယ်က လူ၊ စကားနည်း၏။
14, အဲ့, ကလေးငယ်ငယ် ဘာစားခဲ့သလဲ။ အမဲသားငါး စားရဲ့လား။ ကုလားပဲ စားပါ။
15, အယ်, လယ်သမားလူငယ် စပါးနယ်နေသည်။ မမ စပါးသယ်၏။ မေမေ စားစရာ ဝယ်လာသည်။ ဖရဲသီး ပါသလား။
16, အော, ဆီမီး ပူဇော်ပါ။ ဆရာတော် တရားဟော၏။ ဒေါသ မထားရ။ သာဓု ခေါ်ပါ။
17, အော့, ဇော်က ကနေသည်။ ခါးကော့ ထားပါ။ ရယ်ရယ်မောမော ပေါ့ပေါ့ပါးပါး တော်တော်မောသလား။
18, အော်, ဒေါ်ဒေါ် ဘယ်ကလာသလဲ။ စောစော လာသလား။ အဖော် ခေါ်လာသည်။ ဩဇာသီး ပါ၏။
19, အန်, ဘယ်အတန်းကလဲ။ သူငယ်တန်းကပါ။ ခဲတံ ပါသလား။ အခန်းထဲက ယူခဲ့ပါ။
20, အန့်, ဦးလေး ဘာထမ်းလာသလဲ။ ဘူးသီး ခရမ်းသီး ပါ၏။ တောလမ်းက လာခဲ့သည်။ မမောပန်းပါ။
21, အန်း, အလံတော် တလူလူ။ တေးသံ သာယာ၏။ စီတန်း၍ လာနေသည်။ အခမ်းအနား စတော့မည်။
22, အို, လူကလေး နိုးလာသည်။ ကလေးကို မလန့်စေရ။ ငို မနေစေရ။ ရဲဖို့ လိုပါသည်။
