1, ဢႃ - မႄႈၵပ်းငဝ်ႈ, "ပႃႈလႃႉၵႃႉမႃႉ မႃႉၵႃႈၼႃႇဝႃႈ ပႃႈသႃႇမႃးတႃႉ ႁႃးၵႂႃႇႁႃယႃ ႁႃပႃးပႃမႃး"
2, ဢီ - မႄႈၵပ်းငဝ်ႈ, "ပီႈဢီႇၺႃးမီ ၵႃႈတီႈလႃႇႁႃႉ မီပီးလီၼႃႇ တီႉမီမႃးတႃႉ ဝီးမီးတီႈၽႃ"
3, ဢူ - မႄႈၵပ်းငဝ်ႈ, "ငူးမီးတီႈႁူး ငူးမႃးၸူးၼူ သူလီႁူႉယူႇ ပူယႃႉၼႃးသူ ဝူဝႃၼႃႈႁူႇ"
4, ဢေ - မႄႈၵပ်းငဝ်ႈ, "ပႃႈသေးၸေးယူႇ မႃးႁႃၸေႈသႃ ၵႃႈတီႈရသေႉ ယႃႇပေမႃးယႃႉ ၶူးတေမႃးထႃႉ"
5, ဢႄ - မႄႈၵပ်းငဝ်ႈ, "မႃးႁႃတီႉပႄႉ ပႄႉမႄႈႁႄၼႃႇ ၵႃၵႄဝႄႈပႄႉ ဝႃႈၼႄလီလီ တေလီယူႇတႄႉ"
6, ဢူဝ် - မႄႈၵပ်းငဝ်ႈ, "ဝူဝ်းမီးတီႈၶူဝ် ပီႈငူဝ်ႉၵူဝ်ဝူဝ်း ဝီႁူဝ်သေလႄႈ ႁႃးတေၸူဝ်းလႄႇ ပႃးၶူဝ်းမႃးတႃႉ"
7, ဢေႃ - မႄႈၵပ်းငဝ်ႈ, "ပေႃႈမႄႈၶီႇလေႃႉ ႁေႃႈလေႃႉဝူဝ်းမႃး မႃးတေႃႉၶူဝ်းဝႃႇ ယႃႇပေမေႃးမႄး ႁႃမေႃႈမႃးတႃႉ"
8, ဢိုဝ် - မႄႈၵပ်းငဝ်ႈ, "မိုဝ်းသိုဝ်ႈလီၼႃႇ ၸိုဝ်ႈလိုဝ်းတႄႉတႄႉ မႃးလိုဝ်ႈတီႈတိုဝ်ႉ တေဝႃႈၵႃႈႁိုဝ်? ယႃႇပေတိုဝ်ၼႃႈ"
9, ဢိူဝ် - မႄႈၵပ်းငဝ်ႈ, "ယႃႇပေယိုဝ်းသိူဝ် ပေႃးမိူဝ်းၼႃႈမႃး ၶိူဝ်းႁႃးတေႁိူဝ်ႈ ၵႂႃႇမိူဝ်ႈႁိုဝ်းဢိူဝ်ႈ ၶိူဝ်းသိူဝ်ယႃႇငိူဝ်ႈ"
10, ဢႆ - မႄးၵပ်းသွၼ်ႉ, "ၵႆႇမႄႈမႃးၶႆႇ မီးဝႆႉတီႈၼႆႈ ၵႆႉၵႆႉမႃးလႄႇ တႆႈၾႆးဝႆႉတႃႉ တႆးႁိူဝ်ႈဝႆႉဢိူဝ်ႈ"
11, ဢၢႆ - မႄးၵပ်းသွၼ်ႉ, "ဢၢႆႈၸၢႆးၶၢႆၵႂၢႆး ဝၢႆးၼႆႉႁၢႆလၢႆ ၶၢႆငၢႆႈတႄႉတႄႉ ၽႃႈလၢႆႈပၢႆႉၽႃ ႁႃဝၢႆမႃးတႃႉ"
12, ဢုၺ် - မႄးၵပ်းသွၼ်ႉ, "ပႃႈတုၺ်ႈဢုၺ်ႉၼႃႇ ၵုၺ်ႉႁူဝ်မႆႉၽုၺ်း ၽုၺ်ႇသေႃးဝႆႉလႄႈ မႆၵုၺ်မီးၼႆႈ ယႃႇႁႆႈဢုၺ်ဢုၺ်"
13, ဢူၺ် - မႄးၵပ်းသွၼ်ႉ, "ၵေႃၵူၺ်ႈတီႈႁူၺ်ႈ ပီႈသူၺ်ႇမေႃတူၺ်း တူၺ်းတီႈၽူၺ်းမႆႉ ၼၢႆးမူၺ်လိုဝ်ႈယူႇ ၵႃႈတီႈႁူၺ်ႈတူၺ်"
14, ဢွႆ - မႄးၵပ်းသွၼ်ႉ, "ၼိူဝ်လွႆမီးပွႆး ပူႇလွႆတွႆႇႁွႆႈ ႁိူဝ်ႇၵေႃႈပေႃးယွႆႉ ၸၢႆးသႆႇမႃးၸွႆႈ ၵွႆႈတွႆႇလွႆးလွႆး"
15, ဢိုၺ် - မႄးၵပ်းသွၼ်ႉ, "ဢလိူၺ်ႉသူၵေႃႈ! ဢိူၺ်းႁိူၺ်း! တႃႉလီၶႆႈၶူဝ် ႁိူၺ်ႉ! သူၸိူဝ်းၼႆႉ မႃးလႃႈၵေႃႉႁိူၺ်း!"
16, ဢိူၺ် - မႄးၵပ်းသွၼ်ႉ, "ႁိူၺ်ႉ! ၵႂၢႆးတူဝ်ၼႆႉ ႁိူၺ်ႉႁိူၺ်ႉ! ဝူဝ်းတူဝ်ၼႆႉ"
17, ဢဝ် - မႄးၵပ်းသွၼ်ႉ, "ႁဝ်းဢဝ်ၶဝ်ႈၸဝ်ႉ ဢဝ်ပႃးထူဝ်ႇၼဝ်ႈ ယႃႇပေၵဝ်းႁဝ်း လိုဝ်ႈသဝ်းငဝ်ႈမႆႉ ၶဝ်ၵႆႉမဝ်းလဝ်ႈ"
18, ဢၢဝ် - မႄးၵပ်းသွၼ်ႉ, "ၶၢဝ်ႇငၢဝ်းတႆးမၢဝ်း ၶၢဝ်းၼႆႉလီၼႃႇ ယႃႇၵႆႉလႄႇသၢဝ် ၵူဝ်ဢၢဝ်ႁဝ်းထႃႉ မႃႉမီးသၢဝ်းတူဝ်"
19, ဢိဝ် - မႄးၵပ်းသွၼ်ႉ, "ဢဝ်သိဝ်ႇမႃးတႃႉ တေသိဝ်ႇမႆႉၽိဝ် ပူႇထဝ်ႈလိဝ်ပေႃ တိဝ်ႈသႃႉမႃးလႄႈ ၼိဝ်ႉပိဝ်ၵႂႃႇယဝ်ႉ"
20, ဢဵဝ် - မႄးၵပ်းသွၼ်ႉ, "သီၶဵဝ်ႈၶၢဝ်ၶၢဝ် ၸဝ်ႉၸဝ်ႉၸဵဝ်းၸဵဝ်း ႁဝ်းမႃးၵေႃႉလဵဝ် ၵႃႈတီႈလႃႈသဵဝ်ႈ ပႃးၶဝ်ႈၼဵဝ်မႃး"
21, ဢႅဝ် - မႄးၵပ်းသွၼ်ႉ, "လႅဝ်းတႆးၽၢႆၼႃႇ လႅဝ်းယႃႇလူႉလႅဝ် မႃးၽႅဝ်တီႈၼႆႈ လႆႈပႃၶႅဝ်ႉမႃး ႁႃးယႃႇပေငႅဝ်"
22, ဢႂ် - မႄးၵပ်းသွၼ်ႉ, "မႂ်မႆႉမီးလႂ်? ၽႂ်ႁႂ်ႈမႂ်းမႃး ပႂ်ႉပႃႈသႂ်လႄႈ ၶႂ်ႈၸႂ်လီလီ မီးတီႈၸႂ်ယႂ်ႇ"
23, ဢမ် - တူဝ်ၽႅတ်းသဵင်လင်, "ၵမ်ဝႆႉၶမ်းၼမ်ၼမ် မိူဝ်ႈၶမ်ႈယႃႇၸႂ်လမ် ၸွႆႈႁဝ်းတမ်ၶဝ်ႈၵမ်ႇ ပႃလမ်ယူႇၼႂ်းၼမ်ႉ မႃးယူႇၸမ်ၸမ်လႄႈ"
24, ဢၢမ် - တူဝ်ၽႅတ်းသဵင်လင်, "ႁၢမ်ဢလၢမ်ႇမႃးတႃႉ ၾႆးလၢမ်းၵႂႃႇၵူႈတီႈ ၸွႆႈၶႄၾႆးလၢမ်းလႄႈ ယႃႇပႂ်ႉမိူဝ်ႈပႂ်ႉယၢမ်း ယူႇလီလီငၢမ်းငၢမ်း"
25, ဢိမ် - တူဝ်ၽႅတ်းသဵင်လင်, "ၵိမ်းၾႆးမီးႁိမ်းၽႃ ႁႃဢိမ်ၶိမ်းမႃးတႃႉ ယူႇပႂ်ႉထႃႈၼိမ်ၼိမ် ၽိမ်းၼမ်ႉၶဝ်ႈဝႆႉလႄႈ ယႃႇပေၵူႈပေယိမ်"
26, ဢဵမ် - တူဝ်ၽႅတ်းသဵင်လင်, "ဢဝ်ၶေႃသဵမ်မႃးလႄႈ ႁဝ်းတေသဵမ်ႈမႆႉႁူဝ်ႉ သႂ်ႇၶဵမ်ဝႆႉတဵမ်တဵမ် ၵိူဝ်ၸဵမ်းၸွႆႉၵႃႈႁိုဝ်? ဝႃႈယူႇၸဵမ်မိူဝ်ႈၸဝ်ႉ"
27, ဢႅမ် - တူဝ်ၽႅတ်းသဵင်လင်, "တႅမ်ႈဝႆႉႁႂ်ႈၶႅမ်ႉၶႅမ်ႉ ဢၢႆႈတႅမ်ႇၵႃႉပႅမ်းမႃး ထႅမ်ၼမ်ႉဝႆႉထႃႈလႄႈ မေႃႈၶဝ်ႈတေၶႅမ်ႈယဝ်ႉ သဵမ်ႈမႆႉလႅမ်ဝႆႉလႄႈ"
28, ဢုမ် - တူဝ်ၽႅတ်းသဵင်လင်, "တုမ်မႆႉမီးတႂ်ႈဢုမ် ႁႃဝႆႉႁႂ်ႈၵုမ်ႇၵုမ်ႇ လုမ်းလႃးၸၢႆးၶဝ်တႃႉ ယုမ်ႉယုမ်ႉယၢႆႈယၢႆႈယူႇ တုမ်တုမ်ႉပုမ်ၶဝ်ဢိူဝ်ႈ"
29, ဢူမ် - တူဝ်ၽႅတ်းသဵင်လင်, "ၵူမ်ႈႁူဝ်သေမႃးလႄႈ ႁဝ်းၸွႆႈၶဝ်တူမ်ႈၶဝ်ႈ ၸူမ်းသိူဝ်းၸႂ်တႄႉတႄႉ လူမ်းပဝ်ႇမႆႉယူမ်းလူမ်ႉ ယႃႇပေထူမ်ႇၼမ်ႉလၢႆး"
30, ဢွမ် - တူဝ်ၽႅတ်းသဵင်လင်, "ၶဝ်ၽွမ်ႉသွမ်ႈၼႃးယူႇ လွမ်ႉႁူဝ်ႉဝႆႉလီလီ တေၵႂႃႇၸွမ်းသူဢိူဝ်ႈ ယွမ်ႉမႆဝႆႉသွမ်ႇသွမ်ႇ ၸွမ်းထွမ်ႇတူၺ်းလႄႈ"
31, ဢိုမ် - တူဝ်ၽႅတ်းသဵင်လင်, "ၵမ်ၸိုမ်းမီးတီႈၼႆႈ ယႃႇပေဝႆႉၸႂ်တိုမ် ၵႂၢမ်းႁဝ်းယႃႇပေလိုမ်း ႁႂ်ႈၵိုမ်းဝႆႉတေႃႇၸူဝ်ႈ ဢဝ်ၼၢမ်ၶိုမ်းႁူဝ်ႉဝႆႉ"
32, ဢိူမ် - တူဝ်ၽႅတ်းသဵင်လင်, "ငူးလိူမ်တူဝ်ယႂ်ႇၼႃႇ လႆႇတႃလိူမ်ႈလိူမ်ႈသေ ႁိူဝ်ႇပေႃးၶႆႈၸိူမ်ႈယဝ်ႉ ၶၢႆႉတူၼ်ႈမႆႉဝႆႉလႄႈ ၼိူဝ်ႉမူၸေႃးပိူမ်ႉၼႃႇ"
33, ဢၼ် - တူဝ်ၽႅတ်းသဵင်လင်, "ၸၢႆးၸၼ်ၽၼ်းမႆႉယူႇ မၼ်းလၼ်းၵၼ်းတႄႉတႄႉ ၵႃႈၶၼ်မၼ်းယႂ်ႇၼႃႇ ႁၼ်မၼ်းပၼ်ဢၼ်ၼၼ်ႉ ဝၼ်းၼႆႉဢမ်ႇပႆႇတၼ်း"
34, ဢၢၼ် - တူဝ်ၽႅတ်းသဵင်လင်, "ႁၢၼ်ႇၶေႃးယၢဝ်းတူဝ်ၼိုင်ႈ မီးယူႇတီႈတႂ်ႈၸၢၼ်း ႁၢၼ်ႇၼႆႉၶီႈယၢၼ်ႈၼႃႇ ၶဝ်ဢမ်ႇယူႇယၢၼ်ၵၼ် ၵိူဝ်ဝၢၼ်မီးၼႂ်းဝၢၼ်ႇ"
35, ဢိၼ် - တူဝ်ၽႅတ်းသဵင်လင်, "မေႃႈလိၼ်ၼႆႉၶႅမ်ႉၼႃႇ ဢမ်ႇလီၵိၼ်ယႃႈၽိၼ်ႇ တိၼ်ပေႃးသၼ်ႇတိၼ်းတိၼ်း ၵႃႈတီႈႁိမ်းၼမ်ႉလိၼ်း ႁဝ်းလီၵမ်သိၼ်ဢိူဝ်ႈ"
